file,seed,result,objective,time,steps,intervals,cplex_10_objective,cplex_10_time,cplex_10_relative_objective,cplex_10_relative_time,cplex_100_objective,cplex_100_time,cplex_100_relative_objective,cplex_100_relative_time
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.8_nz0.6_seed1003_data.dat,1003,0,9358142.934911694,0.23540425300598145,72,59,7904336.211041182,1.1650989055633545,0.15535205371216426,4.949353678558009,9204565.484573547,12.989225625991821,0.01641110329328356,55.17838127445291
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.8_nz0.6_seed1004_data.dat,1004,0,10253464.602377892,0.4637420177459717,125,65,8711165.028904038,0.9244198799133301,0.1504174084841701,1.993392542704009,10091396.848006537,13.733571290969849,0.01580614559626695,29.614679639602585
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.8_nz0.6_seed1005_data.dat,1005,0,11084651.689569078,0.321136474609375,90,72,9431792.370236946,1.127004623413086,0.1491124273113166,3.5094257816212107,10913011.682760019,14.158998250961304,0.015484474534330824,44.09028363465742
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.8_nz0.6_seed1006_data.dat,1006,0,8990320.18578174,0.15657401084899902,56,50,7599886.617243636,0.8892209529876709,0.15465895983739095,5.679237238453585,8843998.398050133,14.459700584411621,0.016275481262949403,92.350579167041
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.8_nz0.6_seed1007_data.dat,1007,0,10599730.1315535,0.28025150299072266,85,65,9033574.387335125,0.9915735721588135,0.14775430362667535,3.5381561261123307,10434960.821371686,14.877816438674927,0.015544670301683097,53.087374304527586
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.8_nz0.6_seed1008_data.dat,1008,0,11223479.704343267,0.33011841773986816,100,74,9593882.085533632,1.001772165298462,0.14519539944274257,3.0345842929849915,11047709.719388563,14.159855365753174,0.01566091707607259,42.893260735640254
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.8_nz0.6_seed1009_data.dat,1009,0,12693772.373571157,0.32310962677001953,104,72,10893688.77505487,0.9958055019378662,0.14180840380154597,3.0819431531411876,12509209.325848334,12.621264696121216,0.01453965316938329,39.06186523221322
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.2_seed1000_data.dat,1000,0,9114498.326424483,0.3765716552734375,113,60,7834899.21784683,0.6171483993530273,0.14039161155670818,1.6388604684144414,8979130.727743616,11.732940196990967,0.014851897913943674,31.157257941974958
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.2_seed1001_data.dat,1001,0,8813206.921242211,0.18937039375305176,70,53,7525885.417247776,0.6704323291778564,0.14606731868414916,3.540322834477141,8675715.37241676,7.910849094390869,0.015600626429643724,41.774476662423815
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.2_seed1002_data.dat,1002,0,10277537.333267733,0.26053595542907715,76,65,8842546.949800815,0.5292322635650635,0.13962395240559677,2.0313214070337042,10127340.735550016,8.989961624145508,0.014614064911400562,34.50564667490874
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.2_seed1003_data.dat,1003,0,7657863.821476775,0.31643152236938477,93,60,6503363.594452368,0.6548542976379395,0.15076008844484368,2.069497668040476,7532816.509468289,9.609638690948486,0.016329268177606673,30.368778113486186
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.2_seed1004_data.dat,1004,0,8535817.10992958,0.20053410530090332,72,53,7271836.387440471,0.5705914497375488,0.14807963973580696,2.845358643016713,8400187.108644407,9.986188411712646,0.015889515852840472,49.797955299066345
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.2_seed1005_data.dat,1005,0,9467598.2489235,0.23166513442993164,70,60,8083732.48466521,0.5169007778167725,0.14616861931331313,2.231241136430531,9321557.521752201,9.486313819885254,0.01542531942437497,40.948388039609995
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.2_seed1006_data.dat,1006,0,7753383.247919975,0.1314830780029297,51,44,6577208.009148475,0.6484124660491943,0.15169832332060154,4.9315278885907015,7627049.503327164,10.329209089279175,0.016294015212868905,78.5592278958439
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.2_seed1007_data.dat,1007,0,9006647.955107339,0.21619200706481934,67,57,7713148.433481709,0.6234135627746582,0.1436160853708214,2.883610597998401,8867965.229173826,9.951094388961792,0.015397817992305428,46.028965289073916
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.2_seed1008_data.dat,1008,0,9501102.51603482,0.4010281562805176,105,66,8126766.156781133,0.6015467643737793,0.14465019790432176,1.5000112958477652,9349856.13072918,9.526357650756836,0.015918824689069914,23.754834920102684
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.2_seed1009_data.dat,1009,0,10978212.659625566,0.4010605812072754,125,73,9449740.052875463,0.5164728164672852,0.13922781914868046,1.287767585915811,10818920.727805357,9.84056305885315,0.01450982384464405,24.536350666103903
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.4_seed1000_data.dat,1000,0,9488661.762048097,0.30977582931518555,68,61,8167572.613787222,1.2889127731323242,0.13922818426775946,4.160791937775438,9348392.553827446,12.957452058792114,0.014782823093314131,41.82847992833031
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.4_seed1001_data.dat,1001,0,9370895.770019457,0.18486738204956055,65,56,8005842.198851551,0.6952307224273682,0.1456694861056033,3.76069977688647,9224319.411560327,10.938858032226562,0.01564165924543472,59.171379563832396
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.4_seed1002_data.dat,1002,0,10398312.222930657,0.3853871822357178,110,67,8942120.575100958,0.864525556564331,0.1400411544306645,2.2432649460447123,10245413.363569837,11.10436725616455,0.014704199689603735,28.813535498886125
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.4_seed1003_data.dat,1003,0,8067596.891610751,0.3007774353027344,85,56,6849379.601280363,0.7394406795501709,0.15100125932136926,2.4584313607366166,7935746.532729587,10.348315715789795,0.016343201160468432,34.40522626098647
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.4_seed1004_data.dat,1004,0,9016465.963430822,0.18485236167907715,66,60,7693656.765178818,1.0533785820007324,0.14671038560086422,5.698485929162792,8874660.270247972,10.618839263916016,0.0157274140176416,57.44497482997497
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.4_seed1005_data.dat,1005,0,9798861.52760394,0.26952242851257324,86,69,8373993.212631006,0.9016191959381104,0.14541161858028098,3.3452473729697405,9647937.463342546,12.899039268493652,0.01540220400464198,47.858871484945496
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.4_seed1006_data.dat,1006,0,8048333.390298797,0.18488669395446777,67,53,6836724.305245653,0.8171305656433105,0.15054161231859242,4.419628844921345,7918191.504910912,15.214659214019775,0.016170041557268654,82.29180201451763
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.4_seed1007_data.dat,1007,0,9334013.349253727,0.24734163284301758,76,61,7992828.060260745,0.755047082901001,0.14368795488172434,3.0526485744525393,9189280.493096033,11.871235370635986,0.015505961984644653,47.995297977879865
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.4_seed1008_data.dat,1008,0,9867119.930645015,0.3072671890258789,85,70,8461735.555613142,0.7329604625701904,0.14243106244883794,2.3854172809465135,9712173.418706633,12.953701257705688,0.01570331697876232,42.157775774147794
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.4_seed1009_data.dat,1009,0,11263263.698175475,0.3475935459136963,97,67,9699679.458946418,0.7173943519592285,0.138821595687433,2.063888585944429,11100248.56299279,11.542171001434326,0.014473170437187842,33.205941643980125
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.6_seed1000_data.dat,1000,0,9582198.787779413,0.3450188636779785,89,63,8247457.994386196,1.5319406986236572,0.13929379080461876,4.440165045739313,9440356.24774814,16.62545108795166,0.014802713153078264,48.18707855773629
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.6_seed1001_data.dat,1001,0,9547583.120539095,0.1692352294921875,61,55,8158810.602661725,1.1315717697143555,0.14545801804959352,6.6863842304571275,9398104.969192164,13.071273565292358,0.015656124640105892,77.23730812144983
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.6_seed1002_data.dat,1002,0,10453828.032398183,0.2317047119140625,76,67,8992976.157899752,1.053091049194336,0.13974324715989236,4.544970365492262,10300248.380708804,14.473818302154541,0.014691235709388867,62.466655004939085
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.6_seed1003_data.dat,1003,0,8172913.478003858,0.20245766639709473,64,56,6938483.92636219,1.0869719982147217,0.15103910679636398,5.368885345555478,8039310.104915152,14.108904123306274,0.016347092557418886,69.68816925723854
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.6_seed1004_data.dat,1004,0,9132061.4252556,0.31316161155700684,93,65,7795824.018650049,1.0182948112487793,0.14632374273239743,3.2516591231789995,8988877.859893996,13.046815395355225,0.015679216191605554,41.66160510698556
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.6_seed1005_data.dat,1005,0,9854485.988278694,0.300748348236084,93,71,8424793.264101129,0.9870321750640869,0.14508039545422227,3.2819205187763094,9702781.141651291,15.71666693687439,0.01539449615209222,52.2585311907914
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.6_seed1006_data.dat,1006,0,8076337.450031913,0.16272950172424316,56,48,6860275.219646191,0.917762279510498,0.15057100299603213,5.639802677364011,7945739.859986946,14.283189535140991,0.016170397888024213,87.77258815273018
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.6_seed1007_data.dat,1007,0,9387588.158310624,0.43227386474609375,124,65,8035215.672359146,1.0438787937164307,0.14405963098777957,2.4148552083517183,9241474.83818761,14.49610447883606,0.015564521755639889,33.534538312536405
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.6_seed1008_data.dat,1008,0,9941396.761988983,0.30060434341430664,81,71,8530297.194429388,1.0934462547302246,0.14194178155678747,3.6374931989029413,9785677.980466312,16.293357610702515,0.01566367234411797,54.20200328990678
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.9_nz0.6_seed1009_data.dat,1009,0,11273098.706496093,0.20051074028015137,67,64,9709484.391139295,0.9689977169036865,0.13870315128667948,4.8326474459663045,11109699.257661527,13.721065998077393,0.014494634801734496,68.4305787256407
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.2_seed1000_data.dat,1000,0,7723307.766229417,0.18335318565368652,61,54,6685784.873227648,1.051151990890503,0.13433659830809722,5.732935520825341,7609583.634240246,11.452428579330444,0.01472479608885143,62.46102863443856
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.2_seed1001_data.dat,1001,0,7740821.559382496,0.16954588890075684,57,51,6649946.93331426,0.6113636493682861,0.14092491574696084,3.6058889621685015,7621404.530447712,8.161535501480103,0.015426919225394263,48.13761958131248
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.2_seed1002_data.dat,1002,0,8947580.04941661,0.27426671981811523,84,64,7750144.742269209,0.703010082244873,0.13382783954254474,2.563235097247987,8818081.833658773,9.718844413757324,0.014472987672938345,35.43574087371062
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.2_seed1003_data.dat,1003,0,6494679.932455007,0.2712433338165283,98,59,5559344.24740388,0.6861093044281006,0.1440156704839445,2.529497388098731,6389670.18693257,9.7702476978302,0.016168578993044035,36.02023157715239
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.2_seed1004_data.dat,1004,0,7441676.374622598,0.3341226577758789,96,56,6382355.649599893,0.5700035095214844,0.1423497437533258,1.7059708351291412,7324679.119670896,8.468516111373901,0.015721895049169737,25.345530793228544
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.2_seed1005_data.dat,1005,0,8225621.402258774,0.4218416213989258,109,68,7065717.653873837,0.6014649868011475,0.14101107887927172,1.4258075929220746,8099283.780605034,10.31317687034607,0.015359036779768116,24.44798319365727
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.2_seed1006_data.dat,1006,0,6835538.829691436,0.16256427764892578,58,42,5834635.427184791,0.7638676166534424,0.14642640872128976,4.698865136306838,6725005.3039692845,9.490634202957153,0.016170418817903376,58.380809979995426
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.2_seed1007_data.dat,1007,0,7780079.372735543,0.2572793960571289,83,60,6704607.296046172,0.6014394760131836,0.1382340751507302,2.3376900180519464,7660637.866084873,8.148478507995605,0.015352222121183035,31.67171033853887
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.2_seed1008_data.dat,1008,0,8192503.841864983,0.3560495376586914,105,72,7044956.793865561,0.6079785823822021,0.1400728117007741,1.7075673974474013,8062031.135430753,9.66460132598877,0.015925864540641817,27.143979429214266
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.2_seed1009_data.dat,1009,0,9452550.36452331,0.32509779930114746,101,65,8176107.692303431,0.5636811256408691,0.13503685492230114,1.733881702221906,9315977.66186783,11.189662218093872,0.014448238558776158,34.419372392393726
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.4_seed1000_data.dat,1000,0,8179140.70124576,0.3195497989654541,78,64,7089227.427369573,1.038376808166504,0.13325522982019156,3.2494991751778906,8059335.406045802,11.774428367614746,0.01464766282620743,36.84692778945436
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.4_seed1001_data.dat,1001,0,8369003.795143282,0.15710926055908203,63,50,7188824.737193989,0.7017955780029297,0.14101786626434287,4.466926873091701,8239380.529137762,9.07969331741333,0.015488494112135907,57.792222336880315
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.4_seed1002_data.dat,1002,0,9119180.37066571,0.36977481842041016,104,66,7895777.783860049,0.7330148220062256,0.13415707739930924,1.9823275828718951,8986742.88239868,10.042896032333374,0.014522959617407204,27.159491485207756
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.4_seed1003_data.dat,1003,0,6940996.811953975,0.24738311767578125,78,55,5934704.896593241,0.7556655406951904,0.14497801146193734,3.0546366615265996,6828358.400625207,9.93406081199646,0.016227987763195405,40.156583461835005
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.4_seed1004_data.dat,1004,0,7983149.449135546,0.21614480018615723,82,55,6855218.34944629,0.7170798778533936,0.14128898711916177,3.317590232269294,7859058.995930096,9.922581434249878,0.01554404737078881,45.90710220974059
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.4_seed1005_data.dat,1005,0,8635547.950148223,0.19903206825256348,63,63,7423107.874156535,0.9335486888885498,0.1404010588547398,4.690443590747974,8503259.927770555,11.50519609451294,0.015319007333564434,57.80574052977895
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.4_seed1006_data.dat,1006,0,7188696.360847646,0.1690523624420166,51,46,6143672.991639292,0.7240080833435059,0.14537035878993948,4.2827445466302425,7073471.33864562,10.10637903213501,0.016028639466480327,59.78253652386197
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.4_seed1007_data.dat,1007,0,8195014.2477102,0.3511068820953369,96,62,7056813.664340468,0.732659101486206,0.13888939652396098,2.0867124481122112,8068206.798554726,11.313690900802612,0.015473731383799098,32.22292549005228
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.4_seed1008_data.dat,1008,0,8636382.649451334,0.4165916442871094,111,70,7446174.927636933,0.7709493637084961,0.13781322228583917,1.8506116824013112,8500932.18105327,15.19165587425232,0.01568370391817568,36.46654003406375
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.4_seed1009_data.dat,1009,0,9878799.598302308,0.36974024772644043,106,67,8544754.47808154,0.7170345783233643,0.13504121699665084,1.9392927405995475,9736268.424968362,12.61286735534668,0.014427985092281949,34.11277899256063
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.6_seed1000_data.dat,1000,0,8293654.607715326,0.33699560165405273,71,58,7188374.068370214,1.3045060634613037,0.13326821427032962,3.8709883958677347,8172068.670461258,16.470556259155273,0.014660115836143076,48.87469206812776
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.6_seed1001_data.dat,1001,0,8558665.09122891,0.15859055519104004,57,52,7351780.593699817,1.2297062873840332,0.14101317023912202,7.753969244276336,8425921.697796691,12.986370325088501,0.015509824489832725,81.88615210688283
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.6_seed1002_data.dat,1002,0,9168611.127028272,0.2842404842376709,83,63,7935034.685938789,1.8091657161712646,0.1345434356413052,6.364912165919723,9035261.481946968,13.04513931274414,0.01454414886112912,45.89472660001627
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.6_seed1003_data.dat,1003,0,7061108.824672148,0.2144029140472412,75,55,6037177.273825227,1.3842930793762207,0.14501002268499413,6.456503100845018,6946648.770697575,11.733568668365479,0.01620992634678549,54.72672197813562
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.6_seed1004_data.dat,1004,0,8117874.705845933,0.27526259422302246,84,58,6974707.056653397,1.1788444519042969,0.14082105115139382,4.282617677246684,7992127.2910559885,12.82297420501709,0.015490189162366632,46.58451411174196
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.6_seed1005_data.dat,1005,0,8701703.056820031,0.2872128486633301,87,64,7483114.918901176,1.4596362113952637,0.14004018868051082,5.082071426081095,8568443.37630853,14.327343702316284,0.015314206844493196,49.88406253061035
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.6_seed1006_data.dat,1006,0,7219287.756701419,0.10172820091247559,42,43,6169336.656219134,1.3892810344696045,0.1454369372529376,13.65679351456247,7103550.281450337,13.027408123016357,0.016031702731844587,128.0609310512118
MCQN_K200_I20_T500_alpha_rate1000_cost_scale2_a_rate0.01_sum_rate0.99_nz0.6_seed1007_data.dat,1007,0,8259802.221035104,0.20246410369873047,64,59,7108275.799837576,1.1938021183013916,0.13941331649139907,5.896364325785802,8131488.008498667,12.76554012298584,0.015534780265036094,63.050881068681434
